"","X","Entity","Year","Records","Organization.type","Method","Sources"
"1",0,"21st Century Oncology",2016,2200000,"healthcare","hacked","[5][6]"
"2",1,"500px",2020,14870304,"social media","hacked","[7]"
"3",2,"Accendo Insurance Co.",2020,175350,"healthcare","poor security","[8][9]"
"4",3,"Adobe Systems Incorporated",2013,152000000,"tech","hacked","[10]"
"5",4,"Adobe Inc.",2019,7500000,"tech","poor security","[11][12]"
"6",5,"Advocate Medical Group",2017,4000000,"healthcare","lost / stolen media","[13][14]"
"7",6,"AerServ (subsidiary of InMobi)",2018,75000,"various","hacked","[15]"
"8",7,"Affinity Health Plan, Inc.",2013,344579,"healthcare","lost / stolen media","[16][17]"
"9",8,"Airtel",2019,320000000,"tech","poor security","[18]"
"10",9,"Air Canada",2018,20000,"government","hacked","[19]"
"11",10,"Amazon Japan G.K.",2019,1800000,"web","accidentally exposed","[20][21]"
"12",11,"TD Ameritrade",2005,200000,"financial","lost / stolen media","[22]"
"13",12,"Ancestry.com",2021,300000,"web","poor security","[23]"
"14",13,"Animal Jam",2020,46000000,"web","hacked","[24]"
"15",14,"Ankle & Foot Center of Tampa Bay, Inc.",2021,156000,"healthcare","hacked","[25]"
"16",15,"Anthem Inc.",2015,80000000,"healthcare","hacked","[26][27]"
"17",16,"AOL",2004,92000000,"web","inside job","[28][29]"
"18",17,"AOL",2006,20000000,"web","accidentally exposed","[30]"
"19",18,"AOL",2014,2400000,"web","hacked","[31]"
"20",19,"Apple, Inc./BlueToad",2021,12367232,"tech","accidentally exposed","[32]"
"21",20,"Apple",2021,275000,"tech","hacked","[33]"
"22",21,"Apple Health Medicaid",2021,91000,"healthcare","poor security","[34]"
"23",22,"Ashley Madison",2015,32000000,"web","hacked","[35]"
"24",23,"AT&T",2008,113000,"tech","lost / stolen media","[36]"
"25",24,"AT&T",2010,114000,"tech","hacked","[37]"
"26",25,"Atraf",2021,1800000,"social media","hacked","[38]"
"27",26,"Auction.co.kr",2008,18000000,"web","hacked","[39]"
"28",27,"Australian Immigration Department",2015,1800000,"government","accidentally exposed","[40]"
"29",28,"Australian National University",2019,34200000,"academic","hacked","[41]"
"30",29,"Automatic Data Processing",2005,125000,"financial","poor security","[42]"
"31",30,"AvMed, Inc.",2009,1220000,"healthcare","lost / stolen media","[43]"
"32",31,"Bailey's Inc.",2015,250000,"financial","hacked","[44]"
"33",32,"The Bank of New York Mellon",2008,12500000,"financial","lost / stolen media","[45]"
"34",33,"Bank of America",2005,1200000,"financial","lost / stolen media","[46]"
"35",34,"Barnes & Noble",2012,113400000,"financial","hacked","[47][48]"
"36",35,"Bell Canada",2017,1900000,"tech","poor security","[49]"
"37",36,"Bell Canada",2018,100000,"tech","hacked","[50]"
"38",37,"Benesse",2014,35040000,"academic","hacked","[51]"
"39",38,"Betfair",2010,2300000,"web","hacked","[36]"
"40",39,"Bethesda Game Studios",2011,200000,"web","hacked","[52]"
"41",40,"Bethesda Game Studios",2018,1800000,"web","accidentally exposed","[53]"
"42",41,"Betsson Group",2020,1800000,"various","unknown","[54]"
"43",42,"Blank Media Games",2018,7633234,"web","hacked","[55][56]"
"44",43,"Blizzard Entertainment",2012,14000000,"web","hacked","[57][58]"
"45",44,"BlueCross BlueShield of Tennessee",2009,1023209,"healthcare","lost / stolen media","[59]"
"46",45,"BMO and Simplii",2018,90000,"financial","poor security","[60]"
"47",46,"2018 British Airways cyberattack",2018,500000,"government","hacked","[61][62][63]"
"48",47,"British Airways",2015,59500,"financial","hacked","[64]"
"49",48,"2019 Bulgarian revenue agency hack",2019,5000000,"government","hacked","[65]"
"50",49,"California Department of Child Support Services",2012,800000,"government","lost / stolen media","[36][66]"
"51",50,"Canva",2019,140000000,"web","hacked","[67][68][69]"
"52",51,"Capcom",2020,350000,"web","hacked","[70]"
"53",52,"Capital One",2019,106000000,"financial","poor security","[71][72]"
"54",53,"CardSystems Solutions Inc. (MasterCard, Visa, Discover Financial Services and American Express)",2005,40000000,"financial","hacked","[73][74]"
"55",54,"Cathay Pacific Airways",2018,9400000,"government","hacked","[75]"
"56",55,"CareFirst BlueCross Blue Shield - Maryland",2015,1100000,"healthcare","hacked","[76]"
"57",56,"Central Coast Credit Union",2016,60000,"financial","hacked","[77]"
"58",57,"Central Hudson Gas & Electric",2013,110000,"financial","hacked","[78]"
"59",58,"CheckFree Corporation",2009,5000000,"financial","hacked","[79]"
"60",59,"CheckPeople",2020,56000000,"various","unknown","[80]"
"61",60,"China Software Developer Network",2011,6000000,"web","hacked","[81]"
"62",61,"Chinese gaming websites (three: Duowan, 7K7K, 178.com)",2011,10000000,"web","hacked","[82]"
"63",62,"Citigroup",2005,3900000,"financial","lost / stolen media","[83]"
"64",63,"Citigroup",2011,360083,"financial","hacked","[84]"
"65",64,"Citigroup",2013,150000,"financial","poor security","[85]"
"66",65,"City and Hackney Teaching Primary Care Trust",2007,160000,"healthcare","lost / stolen media","[86]"
"67",66,"Clearview AI",2020,1800000,"tech","hacked","[87][88][89]"
"68",67,"Colorado government",2010,105470,"healthcare","lost / stolen media","[90]"
"69",68,"Community Health Systems",2014,4500000,"healthcare","hacked","[91]"
"70",69,"Philippines Commission on Elections",2016,55000000,"government","hacked",""
"71",70,"Compass Bank",2007,1000000,"financial","inside job","[36][92]"
"72",71,"Countrywide Financial Corp",2006,2600000,"financial","inside job","[36]"
"73",72,"Countrywide Financial Corp",2011,2500000,"financial","inside job","[93]"
"74",73,"Centers for Medicare & Medicaid Services",2018,75000,"healthcare","hacked","[94]"
"75",74,"Cox Communications",2016,40000,"tech","hacked","[95]"
"76",75,"Crescent Health Inc., Walgreens",2013,100000,"healthcare","lost / stolen media","[78][96]"
"77",76,"CVS",2015,5000000,"financial","hacked","[97]"
"78",77,"CyberServe",2021,1107034,"tech","hacked","[98][99]"
"79",78,"Dai Nippon Printing",2007,8637405,"financial","inside job","[100]"
"80",79,"Data Processors International (MasterCard, Visa, Discover Financial Services and American Express)",2008,8000000,"financial","hacked","[101]"
"81",80,"Defense Integrated Data Center (South Korea)",2017,1800000,"military","hacked","[102]"
"82",81,"Dedalus",2021,500000,"healthcare","poor security","[103]"
"83",82,"Deloitte",2017,3500,"financial","poor security","[104][105]"
"84",83,"Democratic National Committee",2016,19252,"government","hacked","[106]"
"85",84,"US Department of Homeland Security",2016,30000,"government","poor security","[107][108]"
"86",85,"Desjardins",2019,9700000,"financial","inside job","[109]"
"87",86,"Domino's Pizza (France)",2014,600000,"web","hacked","[110]"
"88",87,"DoorDash",2019,4900000,"web","hacked","[111]"
"89",88,"UK Driving Standards Agency",2007,3000000,"government","lost / stolen media","[112]"
"90",89,"Dropbox",2012,68648009,"web","hacked","[113]"
"91",90,"Drupal",2013,1000000,"web","hacked","[114]"
"92",91,"DSW Inc.",2005,1400000,"financial","hacked","[115]"
"93",92,"Dubsmash",2018,162000000,"social media","hacked","[116][7]"
"94",93,"Dun & Bradstreet",2013,1000000,"tech","hacked","[117][118]"
"95",94,"EasyJet",2019,9002208,"government","hacked","[119][120]"
"96",95,"eBay",2014,145000000,"web","hacked","[121]"
"97",96,"Earl Enterprises(Buca di Beppo, Earl of Sandwich, Planet Hollywood,Chicken Guy, Mixology, Tequila Taqueria)",2018,2000000,"various","hacked","[122]"
"98",97,"Educational Credit Management Corporation",2010,3300000,"financial","lost / stolen media","[123]"
"99",98,"Eisenhower Medical Center",2011,514330,"healthcare","lost / stolen media","[124]"
"100",99,"ElasticSearch",2019,108000000,"tech","poor security","[125]"
"101",100,"Embassy Cables",2010,251000,"government","inside job","[126]"
